,sample001,sample002,sample003,sample004,sample005,sample006,sample007,sample008,sample009,sample010,sample011,sample012,sample013,sample014,sample015,sample016,sample017,sample018,sample019,sample020,sample021,sample022,sample023,sample024,sample026,sample027,sample028,sample029,sample030,sample031,sample032,sample033,sample034,sample035,sample036,sample037,sample038,sample039,sample040,sample041,sample042,sample043,sample044,sample045,sample046,sample047,sample048,sample049,sample050,sample051,sample052,sample053,sample054,sample055,sample056,sample057,sample058,sample059,sample060,sample061,sample062,sample063,sample064,sample065,sample066,sample067,sample069,sample070,sample071,sample072,sample073,sample074,sample075,sample076,sample077,sample078,sample079,sample080,sample081,sample082,sample083,sample084,sample085,sample086,sample087,sample088,sample089,sample090,sample091,sample092,sample093,sample094,sample095,sample096,sample097,sample098,sample099,sample100,sample101,sample102,sample103,sample104,sample105,sample106,sample107,sample108,sample109,sample110,sample111,sample112,sample113,sample114,sample115,sample116,sample117,sample118,sample119,sample120,sample121,sample122,sample123,sample124,sample125,sample126,sample127,sample128,sample129,sample130,sample131,sample132
BCL10,48.99,41.28,46.29,46.26,38.8,49.64,54.02,40.34,50.03,56.02,63.02,20,41.98,35.44,70.7,41.98,54.6,44.41,53.73,32.18,46.78,37.08,44.6,49.31,56.89,20,39.97,36.44,44.24,45.72,55.24,52.97,43.1,55.39,23.63,39.11,42.11,38.61,45.49,46.83,20,37.81,50.87,64.36,20,34.8,34.65,37.25,58.01,53.29,47.33,32.67,20,42.55,42.83,52.91,57.72,38.45,23.61,31.01,32.16,49.15,37.22,52.13,34.22,37.3,34.92,27.8,115.52,112.15,149.39,117.58,95.24,76.11,28.54,20,20,28.49,30.12,23.41,20.23,30.37,29.26,60.91,67.04,67.55,76.55,63.18,68.29,81.1,104.38,103.06,94.33,59.51,41.98,20,37.51,20,58.34,31.25,77.39,79.06,59.4,76.01,72.42,47.99,92.83,75.44,49.13,89.51,64.49,54.82,33.19,30.81,34.03,42.76,33.86,58.63,94.65,80.37,86.12,80.79,95.05,96.69,60.32,70.49,70.32,68.64,64.44,43.85
BCL2,65.32,55.04,106.72,46.26,81.69,76.19,69.4,67.5,90.61,62.14,70.02,103.39,127.56,161.03,69.28,83.96,83.9,52.81,46.57,33.1,42.65,39.01,80.51,78.9,54.47,88.73,37.55,52.06,63.01,45.72,52.61,78.47,65.59,64.04,40.05,70.82,68.43,38.61,62.26,32.33,29.8,54.61,20,43.63,82.94,44.4,36.09,63.59,36.91,38.86,50.71,70.61,49.03,59.03,55.06,47.03,38.9,79.54,50.58,44.66,68.83,64.4,65.57,91.23,77.27,61.29,87.91,119.14,51.61,70.09,74.19,103.52,50.8,60.89,55.9,20,89.89,68.58,76.31,41.22,55.64,66.66,30.34,57.4,59.42,62.27,70.77,89.6,47.59,60.02,65.05,90.18,95.96,42.11,55.01,39.43,44.42,78.61,36.01,40.95,48.37,44.92,60.3,87.05,53.36,46.85,74.71,76.31,20,90.89,66.23,60.3,64.3,98.93,69.95,90.46,105.99,34.65,78.58,69.16,82.6,112.47,82.28,62.07,55.91,72.32,94.17,106.23,68.32,47.5
BCL2L1,43.16,46.78,56.58,38.86,58.21,55.41,119.27,117.16,190.66,234.58,92.78,72.75,48.44,60.9,66.46,83.96,73.24,132.02,41.19,31.26,275.88,165.19,93.53,60.41,46,60.41,82.37,144.47,84.45,54.86,68.39,49.04,56.22,83.08,534.2,106.76,80.02,64.66,57.47,57.98,29.8,82.34,123.54,89.45,79.48,131.99,163.14,88.12,80.15,66.62,55.78,43.21,49.03,162.53,176.4,185.77,146.81,82.19,259.66,321.28,251.06,288.09,352.67,55.85,54.09,407.69,137.28,165.03,2843.7,2507.57,1948.11,658.2,480.45,1106.8,1395.06,1447.81,2463.22,1657.49,1685.9,1040.05,2184.47,2072.24,2168.39,3103.07,3100.5,2837.07,764.04,692.71,410.4,2178.48,1695.75,1296.88,203.3,400.98,2132.53,2161.8,2297.95,1046.04,393.94,343.8,1308.44,1524.59,1717.25,603.19,267.56,221.67,2960.25,3289.21,2235.24,677.52,345.09,353.57,1057.79,1143.39,1134.29,440.77,401.89,303.83,757.19,1360.76,1246.97,460.97,340.48,506.13,2551.13,2286.92,2045.48,727.26,201.86,146.15
BCL2L11,60.66,68.8,45,53.66,29.61,51.95,42.8,41.9,37.76,31.51,56.02,45.95,50.06,57.12,73.53,43.66,65.25,39.61,41.19,55.16,53.66,58.28,51.31,61.64,47.21,54.75,47.24,42.95,58.98,30.48,46.03,43.16,59.03,51.92,45.65,51.79,40.01,43.43,52.68,34.56,48.43,36.13,56.32,34.91,20,42,47.64,35.43,48.51,32.2,49.02,63.24,54.69,51.75,32.63,35.27,40.15,38.45,37.09,52.1,34.42,40.67,38.99,44.68,41.95,45.3,39.14,45.45,54.07,46.44,49.13,75.41,52.91,78.8,36.87,20,29.96,34.82,28.12,77.34,37.3,47.25,50.93,29.29,44.18,47.5,49.11,28.72,93.12,47.04,39.33,30.06,60.18,52.18,41.98,54.86,34.55,41.84,54.01,95.92,29.02,36.83,39.6,44.14,30.49,95.98,35.09,31.22,20,34.43,70.59,62.49,46.67,42.17,35.92,47.7,38.28,102.61,37.5,41.12,29.88,50.69,45.4,53.72,55.91,45.77,42.69,58.83,65.22,100.84
BCL3,41.99,31.65,38.57,53.66,28.59,20,31.17,20.17,26.43,26.26,20,20,20,33.38,20,20,20,26.4,20,23.9,23.39,20,20,45.61,42.37,20,24.23,28.63,33.51,20,39.46,20,29.05,34.62,20,25.37,24.22,36.68,23.94,25.64,29.8,20,61.77,40.36,20,25.2,37.54,20.89,29.53,28.87,20,23.19,50.91,22.62,26.51,39.98,26.35,20,20,26.05,20,20,25.7,20,20,20,20,20,50.39,24.53,41.11,47.29,51.86,40.3,33.3,20,20,20,28.12,20,20,25.31,33.59,25.77,20,25.33,20,44.8,46.21,20,31.77,20,20,28.38,30.4,34.29,20,36.77,35.29,25.87,26.6,20.66,31.5,36.78,46.5,59.42,20,21.68,20,44.07,50.54,49.88,31.11,27.57,20,36.18,32.39,33.32,20,20,23.73,33.27,45.4,20,36.78,20,26.37,20,20.96,20
BCL6,108.48,60.54,59.15,153.59,61.27,94.66,129.66,45.78,37.76,72.65,110.28,53.61,66.2,44.39,59.39,68.85,59.93,76.81,107.46,64.36,126.59,46.72,28.02,51.78,158.58,62.3,76.31,67.68,88.48,99.06,106.54,105.93,101.2,122.89,55.26,61.31,44.22,117.75,88.59,109.27,33.53,36.13,179.86,202.89,103.67,101.99,77.96,45.42,74.88,98.81,60.86,36.89,158.4,71.3,48.94,71.72,96.62,64.96,55.08,24.81,31.03,47.45,70.89,85.64,36.43,20,56,30.89,120.43,87.62,87.23,122.69,116.41,78.8,72.55,20,34.5,36.93,79.32,21.37,45.52,45.56,70.44,51.54,33.52,53.83,60.66,116.03,57.94,48.66,63.53,58.69,74.81,41.2,104.24,87.43,81.93,207.94,43.21,34.49,59.25,74.57,81.9,60.07,49.55,31.99,52.07,39.02,51.36,123.94,63.62,56.46,79.85,63.25,43.48,93.75,95.69,30.65,48.22,20,61.51,71.28,76.61,34.62,67.68,43.94,43.95,86.62,28.73,27.77
BID,205.29,195.39,223.73,297.93,187.89,202.03,237.29,103.97,153.85,232.82,257.33,179.97,187.31,204.38,144.22,166.24,145.15,165.63,213.13,137.91,152.73,115.11,121.55,150.4,279.63,183.12,136.87,213.45,128.69,283.46,251.21,196.17,145.23,259.62,180.6,121.55,191.62,187.24,155.64,188.43,202.4,102.51,232.55,286.88,169.33,155.99,207.9,115.37,211.99,233.15,169.04,121.2,152.74,191.28,110.12,276.31,217.07,171.01,136.01,197.23,97.6,115.24,148.87,195.49,114.8,134.56,151.13,121.79,56.53,74.47,97.26,117.58,152.39,181.78,67.79,85.89,81.71,97.07,95.39,125.17,88.52,78.47,66.1,72.63,88.37,88.66,121.32,164.28,161.4,71.37,101.35,83.02,174.02,136.41,79.63,99.43,93.77,106.51,133.95,133.64,71.35,86.25,116.1,104.21,174.56,173.68,79.24,72.84,78.16,121.18,131.59,134.85,81.93,90.82,89.8,93.75,138.38,122.6,121.44,95.33,96.66,152.07,170.24,119.37,70.62,64.08,75.34,107.86,181.68,166.61
BIRC2,123.64,92.19,128.58,129.53,94.97,94.66,174.96,92.33,119.87,126.92,122.54,74.67,88.81,100.81,108.87,115.86,107.87,117.62,118.2,73.55,85.31,87.65,111.69,106.02,157.37,60.41,78.73,119.74,112.61,106.68,128.9,102.01,99.32,110.77,144.56,91.96,116.87,115.82,79.02,92.54,73.26,83.18,107.19,141.8,86.39,79.2,90.96,88.12,117.07,85.49,72.69,66.4,86.74,113.47,75.45,89.36,115.44,68.94,80.93,116.6,95.35,89.82,123.17,102.4,55.19,122.57,121.63,123.11,76.19,111.27,95.25,103.52,106.88,122.68,84.44,20,74.45,84.4,94.39,94.13,75.24,71.72,52.02,59.74,70.08,86.55,89.55,110.28,128.98,87.59,81.69,104.49,125.23,84.22,83.97,85.72,90.81,122.99,105.15,80.83,81.02,80.86,99,99.31,103.67,78.84,70.19,77.18,66.99,114.3,94.12,98.67,76.74,87.58,86.96,67.43,86.86,77.29,57.15,71.03,97.54,114.05,112.08,133.7,88.27,87.89,106.73,116.04,100.15,84.04
BLK,23.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.14,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,20.32,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
BLNK,34.99,39.9,57.86,38.86,23.49,20,32.83,47.33,46.25,35.89,68.27,20,20,30.28,53.73,58.77,38.62,34.81,20,20,23.39,24.56,24.86,53.01,39.95,49.08,39.97,20,29.49,36.58,32.88,43.16,20.61,20,20,44.39,37.9,27.02,33.52,20,20,38.65,20,39.27,20,32.4,20,37.25,20,38.86,42.26,25.29,20,34.5,42.83,42.33,51.45,20,28.1,20,32.16,38.98,31.9,20,20,20,27.09,23.83,20,20.15,27.07,20,20,20.6,20,20,20.88,21.1,20,20,24.66,21.09,21.67,20,20,23.22,20,20,20,20,31.77,28.63,20,20,20,20,23.69,20,20.17,22.63,20,23.36,25.2,28.2,21.34,20,20,20,20,35.8,22.66,20,31.11,25.14,23.63,20,20,20,20,20,20,36.43,31.21,20,20,21.06,20,20,20,20
BST2,144.64,269.69,331.74,490.38,315.54,362.5,423.88,107.07,241.63,369.37,633.7,348.45,345.55,222.96,96.15,119.22,102.54,327.66,471.03,348.44,154.79,102.58,95.51,109.72,685.15,507.82,316.14,417.79,104.56,445.01,502.43,447.27,343.88,522.7,234.26,126.84,307.43,469.06,435.79,333.37,213.58,68.06,719.46,859.56,518.35,331.18,259.88,108.1,387.06,435.22,410.77,200.25,296.06,243.03,97.89,440.92,478.07,349.98,222.57,223.28,115.66,233.87,391.66,396.57,250.57,173.2,119.82,111.64,39.33,74.47,135.36,171.26,112.18,92.23,39.25,20,51.75,113.95,80.33,46.3,32.88,35.44,53.1,33.97,60.94,66.49,142.99,132.11,77.25,38.93,99.84,98.77,252.09,82.39,63.7,128.58,87.85,148.35,57.62,87.3,32.65,43.12,85.5,125.05,96.05,74.27,32.83,64.17,104.95,121.18,91.5,75.1,37.33,41.36,85.07,123.35,83.91,57.3,20,82.24,107.21,136.23,75.19,53.72,42.67,65,91.66,148.72,115.68,111.08
BTK,50.16,45.41,56.58,51.81,31.66,45.02,32,38.79,34.92,42.01,50.77,20,33.91,20,39.59,52.05,47.94,36.01,42.98,20,38.53,35.16,37.89,30.82,55.68,56.63,36.34,27.33,26.81,56.39,56.56,52.97,35.61,51.92,33.64,26.42,46.32,51.15,41.9,45.71,20,23.53,49.05,63.27,20,20,31.76,35.43,54.84,48.85,43.95,24.24,43.37,48.3,32.63,47.03,50.19,50.38,40.47,20,32.16,20,42.53,46.55,35.32,30.64,33.12,28.68,20,22.78,22.06,30.67,39.16,29.55,34.49,20,22.7,22.16,31.13,26.46,41.73,41.34,35.76,20,20,21.11,28.89,29.87,24.14,37.31,39.33,20,35.78,29.3,39.09,20,31.59,36.77,26.65,22.63,26.6,23.36,24.3,45.36,42.69,30.85,29.43,20,20,56.46,43.57,39.47,45.63,30.81,34.03,20,54.47,20,20,20,20.21,20,20,28.65,30.9,21.97,20,37.59,31.06,20
BTLA,111.98,86.69,113.15,92.52,54.12,68.11,49.45,96.98,70.79,81.4,112.03,80.41,77.51,51.61,108.87,125.94,118.52,64.81,78.8,45.05,53.66,61.65,97.48,124.51,83.52,62.3,60.56,40.35,111.27,74.68,59.19,68.66,59.97,69.23,45.25,105.7,92.65,57.91,49.09,39.02,26.08,125.19,50.87,48,20,38.4,46.2,89.03,64.33,48.85,72.69,65.34,56.57,80.5,125.42,82.31,102.89,80.87,58.45,60.78,78.99,66.09,57.6,78.2,50.78,58.62,51.18,59.57,31.95,25.41,29.08,20,35.98,24.18,44,81.8,43.58,32.71,25.1,24.42,30.35,27.84,31.43,28.11,20,26.39,31.77,20,33.11,38.93,33.28,20,39.03,23.8,44.88,37.72,24.68,38.04,54.73,47.42,38.7,35.94,41.4,42.91,21.34,39.99,32.83,26.88,64.76,49.57,40.96,23.57,40.44,36.49,41.59,34.54,35.33,58.63,20,20,20,36.43,32.63,133.7,33.84,29.3,32.65,37.59,25.62,20.46
C10orf54,229.79,165.12,199.3,270.17,146.02,243.59,314.17,69.05,117.04,205.69,182.06,122.53,146.94,90.49,118.77,141.05,158.47,168.03,268.65,119.52,277.25,130.52,118,159.03,324.42,139.7,92.06,131.45,172.93,278.89,285.41,204.02,199.58,309.81,290.73,128.95,160.03,221.98,154.44,221.88,194.95,94.1,281.61,311.97,190.06,147.59,207.9,78.12,169.8,206.51,142,63.24,243.26,232.3,120.32,218.7,238.41,141.85,109.04,131.49,115.09,145.74,182.54,137.78,57.4,97.26,151.73,115.17,165.9,121.79,163.43,223.66,223.29,299.09,151.04,102.25,108.95,135.05,142.58,115,132.14,118.12,139.79,144.08,123.41,144.6,206.54,260.77,176.58,128.15,124.04,153.16,309.01,149.22,110.03,180.01,182.61,258.66,155.56,212.31,106.42,106.91,168.3,148.35,169.23,156.54,135.84,150.02,129.51,213.45,163.83,172.67,109.93,87.58,76.56,138.15,182.55,127.93,75,104.67,139.72,213.85,174.5,124.15,76.5,83.31,130.59,215.73,121.12,149.81
C14orf166,160.97,159.62,201.87,131.38,189.93,161.62,155.84,180.78,146.3,160.18,176.8,126.36,164.7,205.76,145.64,208.22,163.8,136.82,132.53,191.23,171.99,141.11,185.49,146.7,135.58,134.03,146.56,153.58,156.84,166.12,152.57,121.63,171.47,186.93,224.65,135.29,166.35,140.91,158.03,169.47,235.93,137.8,101.74,106.9,114.04,143.99,190.58,161.7,157.15,134.34,184.26,208.68,156.51,179.02,137.65,130.51,139.28,143.18,122.53,229.48,150.64,127.1,113.42,169.43,174.41,157.21,142.7,171.21,146.24,181.37,240.63,213.44,252.93,234.61,180.78,208.58,190.67,154.04,151.62,317,160.59,171.28,117.03,189.77,188.92,226.92,202.2,175.76,298.66,180.05,192.11,197.54,243.96,281.97,141.88,224.58,171.75,207.94,294.56,295.3,137.86,167.1,195.31,213.32,225.63,284.51,160.75,195.12,133.98,227.22,281.47,282.86,151.41,174.35,180.54,180.91,204.63,339.82,191.08,198.13,179.27,223.36,236.92,356.92,170.66,178.52,194.63,259.85,376.55,355.88
C1QA,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.15,20,39.62,20,139.69,20,20,20,29.54,24.1,48.34,20,20,20,20,20,22.16,49.11,20,20,20,20,20,20,20,20,20,21.72,30.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,36.43,20,20,20,20,20,20,20,20
C1QB,20,20,28.29,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.77,20,20,20,20,20,20,20,20,20,20,20,20,20,28.43,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21.47,20,20,20,20,20,20,20,20,22.15,20,20,20,20,20,20,20,25.07,51.12,23.28,95.81,20,20,20,34.82,34.14,55.97,20,20,20,20,20,27.44,59.22,20,20,20,39.33,34.35,34.15,20,20,20,42.45,55.79,24.49,31.25,20,20,20,41.68,38.88,30.85,20,20,20,48.2,20,20,20,20,20,36.18,20,20,20,20,20,63.36,20,28.65,20,20,31.39,52.3,20,20
C1QBP,47.82,67.42,57.86,38.86,46.97,41.56,55.69,72.93,83.06,80.53,61.27,40.21,56.52,93.59,46.66,50.38,45.28,30.01,20,43.21,57.1,39.01,39.47,56.71,46,50.97,54.51,70.28,68.37,48.77,56.56,64.74,60.9,57.12,85.7,64.48,49.48,48.26,50.28,28.99,90.65,67.22,20,70.9,69.11,80.4,70.74,29.98,41.13,41.08,20,56.91,20,40.25,42.83,31.75,50.19,59.66,33.72,44.66,77.86,72.87,70.89,61.44,79.48,58.62,75.26,67.07,39.33,36.8,42.11,62.63,117.47,76.11,53.52,89.98,67.19,48.53,40.16,140.95,59.43,69.19,30.34,57.4,42.66,44.33,44.77,50.55,131.05,42.17,55.97,41.51,87.83,158.38,60.81,61.72,60.21,50.72,211.02,154.12,52,61.99,57.6,58.85,121.96,166.82,62.26,43.36,51.36,44.07,145.53,150.75,45.63,45.41,51.04,65.79,64.77,187.9,48.22,52.34,48.33,53.86,133.36,148.02,52.96,48.52,46.46,44.13,197.2,237.5
C1R,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C1S,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C2,20,20,20,49.96,44.93,51.95,48.62,20,20,20,43.76,20,20,21.33,20,20,20,27.6,55.52,31.26,24.77,20,20,20,36.32,39.64,24.23,31.24,20,20,20,60.81,46.85,20,35.64,20,20,20,55.07,105.92,55.88,20,20,31.63,20,60,44.76,20,23.2,36.64,50.71,20,69.77,40.25,20,29.39,33.88,88.82,33.72,20,20,20,21.27,50.27,20,20,20,20,20,20,20,42.18,23.28,46.56,20,20,20,40.09,24.1,20,20,20,20,20,20,20,33.22,28.72,24.83,20,20,20,20,25.63,20,36,31.59,38.04,20,23.71,20,20,20,33.1,53.36,33.14,20,20,20,20,22.66,20,20,20,20,20,20,20,20,20,20,36.43,38.3,28.65,20,20,20,40.86,20,25.58
C3,23.33,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,22.49,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,37.12,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C3AR1,54.82,38.53,55.29,98.08,72.5,99.28,123.01,36.47,34.92,108.53,113.79,120.62,156.63,239.48,62.21,36.94,33.29,55.21,84.18,28.5,64.67,47.68,46.57,44.38,99.26,109.49,107.8,232.97,20,73.15,88.12,102.01,137.74,148.85,152.17,27.48,34.74,51.15,117.33,369.05,98.1,20.17,105.38,118.9,93.3,58.8,108.28,34.52,69.61,79.94,87.9,29.51,188.57,126.5,44.86,71.72,75.29,108.71,82.06,60.78,21.44,20,39.87,59.58,20,35.97,38.53,32.65,20,20,20,25.56,35.98,29.55,20,20,21.79,20,23.09,43.76,20.23,24.47,23.84,20,20,21.11,28.89,25.27,32.42,20,20,20,20,20.14,20,20,21.72,31.7,24.49,25.87,20,20,20.7,40.46,51.84,36.56,20,20,20,20,64.49,57.56,20,20,20,20,20,20,20,20,20,20,20,46.55,20,20,20,20,49.69,32.88
C4A,20,37.15,20,20,20,20,20,20,20,20,20,20,20,20,28.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40.77,20,20,20,20,20,20,20,26.34,20,20,20,20,21.82,20,20,20,20,20,20,20,20,20,20,20,20,20,27.84,20,20,20,20,20,42.82,20,20,20,20,20,20,20,20,34.92,20.6,20,20,20,20,20,20,20,20,20,20,20,20,20,24.12,24.83,20,20,20,37.41,20,20,20,20,32.97,20,35.57,20,20,20,20,20,28.57,20,20,20,20,21.79,20,20,20,20,20,20,20,20,20,20,31.68,20,25.07,20,20,20,20,24.84,24.85
C4B,38.49,35.78,20,57.37,32.68,20,20,34.91,27.37,20.13,45.51,47.86,20,20,48.07,33.58,37.29,38.41,20,20,20,20,20,46.85,25.42,45.31,29.07,26.03,20,36.58,35.51,20,24.36,48.46,20,26.42,33.69,31.85,38.31,26.76,20,29.41,38.15,42.54,20,32.4,20,29.98,23.2,20,33.81,32.67,20,20,30.59,45.86,20,42.42,30.35,24.81,27.65,37.28,20,20,20,20,20,20,29.49,21.9,31.08,56.23,80.43,48.36,26.16,89.98,24.51,43.26,49.2,20,20,23.62,21.67,25.77,35.04,30.61,31.77,49.4,41.39,47.04,30.25,20,43.91,49.44,39.09,41.14,35.54,87.49,41.05,42.03,24.19,26.05,26.1,58.85,51.84,69.7,36.22,20,66.99,85.38,40.09,43.85,28,32.44,29.3,47.7,50.05,54.64,46.43,52.34,20,55.44,63.84,70.43,32.37,25.63,25.11,93.16,35.71,27.04
C4BPA,26.83,35.78,27,20,20,20,20,24.05,20,20,20,20,20,20,39.59,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.61,20,20,24.31,20,20.27,20,20,20,20,20,20,20,20,20,20,20,20,37.19,22.13,20,20,29.57,20,20,27.84,20,20,20,20,20,39.1,20,20,20,20,113.06,165.59,155.41,70.29,40.21,66.26,102.28,114.52,112.58,92.84,34.14,22.39,61.96,61.59,63.94,228.43,214.83,257.53,145.87,70.08,44.14,20,20,20,20,20,20,20,20,20,48.97,21.55,20,20,20,20,20,30.85,20,20,20,20,20,20,248.89,232.73,243.87,98.68,42.69,81.29,583.97,663.56,735.53,248.7,120.59,144.44,20,20,20,20,20.96,20
C5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.17,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.31,20,20,20,20,20,20,20,759.47,965.53,688.81,371.92,139.69,308.04,613.68,515.32,793.53,787.07,699.86,263.06,845.34,491.06,444.3,900.82,908.06,903.47,372.63,251.58,96.57,538.54,509.78,392.21,154.51,51.27,897.6,936.04,765.98,683.42,185.09,111.01,632.45,707.94,649.82,405.8,72.42,43.42,1420.69,1633.76,949.03,523.29,120.26,110.18,355.71,347.07,310.04,187.49,266.46,93.28,285.73,401.87,354.14,353.25,103.56,212.48,1000.44,968.6,851.34,437.99,86.18,51.88
C5aR1,94.48,64.67,60.43,135.09,86.8,176.63,203.21,47.33,63.24,107.66,159.3,112.96,113.03,103.57,55.14,50.38,74.57,66.01,161.19,69.87,178.18,43.35,43.41,49.31,133.16,101.94,101.75,104.12,46.92,60.96,126.26,135.36,149.92,129.81,155.78,79.27,60.01,124.5,136.48,264.24,88.16,31.93,139.89,169.08,134.77,112.79,166.03,47.24,62.23,96.59,104.81,48.48,169.71,161.38,54.04,71.72,104.15,74.24,55.08,45.9,49.65,64.4,62.03,102.4,22.08,53.29,52.38,30.45,46.7,28.04,42.11,34.51,71.96,112.83,30.92,20,23.61,20,26.11,31.55,25.29,20,20,20,20,20,44.77,58.59,68.29,20,20,30.06,53.67,87.89,31.85,20,38.5,62.13,59.06,78.67,20,20,25.2,20,79.28,50.28,20,20,20,37.18,49.67,34.53,21.78,20,20,20,64.77,39.98,20,20,21.09,20,45.4,47.75,20,20,28.88,42.49,42.7,68.69
C6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.28,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,23.62,20,20,20,20,20,20,21.41,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C7,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8A,33.83,34.4,20,46.26,20,20,20,26.38,20.77,20.13,20,20,20,20,32.52,20,20,26.4,20,20,20,20,20,34.52,24.21,37.76,25.44,20,20,20,20,20,20,20,20,29.6,22.11,20,26.34,20,20,20,20,20,20,20,20,26.34,20,20,20,24.24,20,20,28.55,30.57,20,27.84,20,20,20.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8B,20,20,20,20,20,20,20,20,22.65,20,20,20,20,20,28.28,35.26,20,20,20,20,20,20,20,32.05,20,20,20,20,20,20,20,20,20,20,20,27.48,20,20,20,20,20,20,20,20,20,20,20,21.8,21.09,20,20,20,20,20,25.49,28.22,20,20,20,20,20,33.89,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
C8G,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
