"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation","Species"
"ATG10",7.74039383228684,-0.238276745431352,0.532792385521599,0.250978139597061,"Early",FALSE,"None","AGM"
"CLU",11.7324195251691,0.208423891011721,0.532792385521599,0.234298015768283,"Early",FALSE,"None","AGM"
"LAIR1",9.8637268665606,0.164751286134784,0.532792385521599,0.228337065832134,"Early",FALSE,"None","AGM"
"CXCR2",8.37448913682083,-0.299358090828184,0.532792385521599,0.252299189033061,"Early",FALSE,"None","AGM"
"GPI",9.52930411143384,-0.167424480218516,0.532792385521599,0.23524863112104,"Early",FALSE,"None","AGM"
"ATM",8.30479101251909,-0.203867918607363,0.532792385521599,0.250955010617741,"Early",FALSE,"None","AGM"
"CXCR1",8.43098066951501,-0.21967916724504,0.532792385521599,0.258807493194551,"Early",FALSE,"None","AGM"
"CXCL3",7.94014266390835,-0.222945344241443,0.54160609297533,0.275070159576833,"Early",FALSE,"None","AGM"
"FCER1A",8.61195743513007,-0.43801842771404,0.536065295364525,0.270817402463377,"Early",FALSE,"None","AGM"
"ITGAL",9.47462835287672,0.16848693921521,0.532792385521599,0.246337609689606,"Early",FALSE,"None","AGM"
"MAPKAPK2",8.17104329411638,-0.129161274129597,0.544344195403051,0.281362324377162,"Early",FALSE,"None","AGM"
"CD8B",7.90098187870442,-0.259651019550087,0.532792385521599,0.26778006908683,"Early",FALSE,"None","AGM"
"NFATC1",7.41343226969507,-0.160621595663132,0.532792385521599,0.261659607910045,"Early",FALSE,"None","AGM"
"HLA-DRB1",11.6395028854199,0.170895049600279,0.539003382423285,0.27300171317543,"Early",FALSE,"None","AGM"
"IFNGR1",9.30896052298963,-0.2515529756703,0.532792385521599,0.267021489210548,"Early",FALSE,"None","AGM"
"MALT1",9.01910146190056,-0.128926438622017,0.532792385521599,0.267448625280437,"Early",FALSE,"None","AGM"
"ICOS",8.1260053522217,-0.190850415925822,0.560876638215718,0.307707682154502,"Early",FALSE,"None","AGM"
"IL1R1",7.55109320406616,-0.23790431978472,0.532792385521599,0.235940839882932,"Early",FALSE,"None","AGM"
"CREB1",8.82542820133661,-0.129316050670793,0.54160609297533,0.276908380527724,"Early",FALSE,"None","AGM"
